Phylogenetic_affiliation,Recovered_C01,Recovered_C02,Recovered_C03,Recovered_C04,Recovered_C05,Warm_C06,Recovered_C07,Reference_C08,Active_C09,Active_C10,Warm_C11,Active_C12,Active_C13,Active_C14,Active_C15,Warm_C16,Reference_C17,Recovered_C18
Proteobacteria,32.63233405,29.99677649,25.30816274,20.4606437,26.04366717,24.05644316,21.81133857,39.24778781,16.69640465,11.34129676,22.77612062,13.28357328,38.96539043,13.75257086,21.29693948,19.83092478,24.22533677,28.81951538
Acidobacteria,23.45441916,27.29266266,36.06741216,44.30324575,37.92524188,35.25381713,37.26919008,16.37632402,32.85707151,33.79098054,33.6874651,39.37445802,11.20554625,26.38327045,28.10171754,35.02817164,21.00954794,34.23455327
Bacteroidetes,13.67902042,11.72357746,10.58127551,3.924506372,9.622395656,6.928270157,7.859455091,8.252178137,6.787979497,3.258012231,6.224546779,2.78265844,10.89681599,4.426193038,5.010056434,5.48223212,11.318596,10.36788842
Chloroflexi,8.146846638,5.203012844,3.026918554,9.9488325,5.703337465,7.776824346,5.805490858,5.368274334,6.536909156,9.214690112,10.05598006,16.93839469,3.206254512,25.01259892,20.74803525,10.76106548,3.376964183,3.404659103
Verrucomicrobia,6.767094803,6.94552273,8.511874764,6.342590701,6.681285952,3.668441866,6.28084465,8.65080338,1.798353741,2.497536968,6.180961332,1.528214767,3.857766155,3.278896925,4.152421943,9.998320144,17.39649591,8.834679488
Actinobacteria,3.823261009,7.213391629,3.490013938,4.283178287,2.955184171,5.025038932,3.518616888,5.715141857,3.604425739,4.181024894,7.985217269,0.346413508,6.881052589,3.47412341,1.345700704,6.464266743,7.590678162,4.235506704
Planctomycetes,2.522961813,2.721366404,3.864122366,2.523415828,2.662344443,3.618046191,2.542030446,5.186668301,1.223116632,0.615190437,2.348620021,0.644701417,2.392659484,1.582696577,1.129589525,2.200611104,5.637505278,3.381504334
Nitrospirae,1.569076125,1.59994915,0.806330786,0.197042546,1.100078545,0.178881942,0.547088174,3.245753824,0.969776216,0.368206232,0.129848314,0.379102594,3.681608303,1.627190055,0.902127969,1.192243606,1.642626568,1.024258026
Chlorobi,1.278960487,0.984304699,1.346154719,0.326890859,0.632897025,0.200220651,0.774549731,0.968868186,0.44130266,0.300103969,0.226099511,0.793618364,3.504088406,0.503956741,0.474445761,0.645155432,0.49396841,0.928914859
Gemmatimonadetes,1.135037706,0.858996536,0.871254943,0.712349664,0.593397713,0.394993122,0.653781719,1.756130339,0.30192003,0.202036712,0.409067589,0.143922781,1.518680451,1.135945736,0.487612198,0.708717544,1.84738737,0.88169729
Firmicutes,0.74594678,0.893047667,0.449928947,0.394539107,0.351861689,0.35640184,0.921196602,0.90848418,0.463095384,2.388119333,0.291023668,0.203852772,1.445130007,0.920742587,0.539823933,1.81606033,0.666948156,0.518031209
Elusimicrobia,0.652419673,0.513491058,0.760021248,2.069400745,1.229926858,0.463549399,1.016539769,0.510766968,0.389090926,0.058113931,0.617460512,0.101699378,0.208846938,0.119405967,0.153911113,0.419055921,0.997017121,0.736412464
TM6,0.528927571,0.059021961,0.715981785,0.188870274,0.504410757,0.374562443,1.033338327,0.340511312,0.061292036,0.009080302,0.210208983,0.050395674,0.076274534,0.041769388,0.196588531,0.336879191,0.144376796,0.261058672
Cyanobacteria,0.419963951,1.590868849,0.590673622,0.297833894,0.250616325,7.255161016,0.456285158,0.448566901,0.945713417,3.717475495,4.988717725,6.190495648,1.790635485,0.448566901,1.43196357,1.163640656,0.983850684,0.248800265
k__Archaea;p__Crenarchaeota,0.402257363,0.385458805,0.493060379,1.126411419,0.902127969,0.211571028,3.789663893,0.210208983,22.38839174,26.20938268,0.254702461,15.96771045,1.508238104,15.73207662,12.17623049,1.358867142,0.52166333,0.285121472
WS3,0.401803348,0.305098135,0.146646872,0.031327041,0.183876108,0.019068633,0.035867192,0.942535311,0.150733007,0.098521273,0.031781056,0.043131433,0.218381255,0.101699378,0.100791348,0.092619077,1.158192475,0.272409049
Chlamydiae,0.340511312,0.339603282,1.095992409,0.444480766,0.986120759,1.523674616,1.714814966,0.7736417,0.097159228,0.00272409,0.52529545,0.146646872,0.082630745,0.05357378,0.204760802,0.82449139,0.384550775,0.308276241
Armatimonadetes,0.303282075,0.270592989,0.486250153,0.242898069,0.300103969,0.421780012,0.30282806,0.103969454,0.750032916,0.44311872,0.344143432,0.172979746,6.950516896,0.295563819,0.24834625,0.200220651,0.199312621,0.392269031
FCPU426,0.302374045,0.22155936,0.55208234,0.423142057,0.416785846,0.883967365,1.638994447,0.204306787,0.13575051,0.003178106,0.931638949,0.304190105,0.017706588,0.009080302,0.294201773,0.372292368,0.065832187,0.042677418
WPS-2,0.278311245,0.367298202,0.320534648,0.554806431,0.400441303,0.184330123,1.312103588,0.00181606,2.779480334,0.761837308,1.21222027,0.24653019,0.022700754,0.424504102,0.146192857,0.251070341,0.005448181,0.317810558
Minor groups,0.470359625,0.420417966,0.419963951,1.088728168,0.444026751,1.010183558,0.615190437,0.691918986,0.559800597,0.38772888,0.285575487,0.171617701,1.361591232,0.466727505,0.731418298,0.770463595,0.260604657,0.391815016
Unassigned;Other,0.144830811,0.093981122,0.095343167,0.114865816,0.10987165,0.19477247,0.100791348,0.095343167,0.062200066,0.151641038,0.283305411,0.185692169,0.207484893,0.208846938,0.127124223,0.082630745,0.073096428,0.112141725
